[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/utils/autoreload.py first seen with mtime 1579901557.762661
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/warnings.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/distutils/fancy_getopt.py first seen with mtime 1572280234.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/db/models/indexes.py first seen with mtime 1579901557.734658
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/db/models/fields/proxy.py first seen with mtime 1579901557.7386584
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/forms/widgets.py first seen with mtime 1579901557.7466593
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/http/response.py first seen with mtime 1579901557.7546601
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/email/utils.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/xml/dom/domreg.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/psycopg2/extensions.py first seen with mtime 1575597289.4109907
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/collections/__init__.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/email/header.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/encodings/utf_8.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/shutil.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/db/models/__init__.py first seen with mtime 1579901557.734658
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/pytz/__init__.py first seen with mtime 1575597290.078978
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/asyncio/sslproto.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/template/loader.py first seen with mtime 1579901557.7586606
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/http/multipartparser.py first seen with mtime 1579901557.7546601
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/functools.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /etc/python3.6/sitecustomize.py first seen with mtime 1522561590.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/test/utils.py first seen with mtime 1579901557.762661
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/contrib/staticfiles/utils.py first seen with mtime 1579901557.6906536
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/distutils/sysconfig.py first seen with mtime 1572280234.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/db/utils.py first seen with mtime 1579901557.7066553
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/core/cache/__init__.py first seen with mtime 1579901557.694654
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/utils/lorem_ipsum.py first seen with mtime 1579901557.7666614
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/weakref.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/utils/encoding.py first seen with mtime 1579901557.7666614
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/utils/__init__.py first seen with mtime 1579901557.762661
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/lib-dynload/_asyncio.cpython-36m-x86_64-linux-gnu.so first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/db/migrations/migration.py first seen with mtime 1579901557.7306578
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/lib-dynload/_json.cpython-36m-x86_64-linux-gnu.so first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/sqlparse/engine/grouping.py first seen with mtime 1575597290.3829722
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/genericpath.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/db/migrations/operations/__init__.py first seen with mtime 1579901557.734658
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/core/signing.py first seen with mtime 1579901557.694654
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/db/migrations/__init__.py first seen with mtime 1579901557.7306578
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/utils/module_loading.py first seen with mtime 1579901557.7666614
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/unittest/signals.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/uu.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/db/models/utils.py first seen with mtime 1579901557.7386584
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/email/mime/text.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/utils/timezone.py first seen with mtime 1579901557.7706618
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/views/defaults.py first seen with mtime 1579901557.7706618
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/db/models/base.py first seen with mtime 1579901557.734658
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/core/mail/utils.py first seen with mtime 1579901557.6986544
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/utils/timesince.py first seen with mtime 1579901557.7666614
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/sre_parse.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/glob.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/opcode.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/db/models/query_utils.py first seen with mtime 1579901557.7386584
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/psycopg2/errorcodes.py first seen with mtime 1575597289.4109907
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/operator.py first seen with mtime 1573123442.0
[25/Jan/2020 15:09:43] DEBUG [django.utils.autoreload:349] File /home/joaquin/.virtualenvs/my_django_postgres_environment/lib/python3.6/site-packages/django/template/engine.py first seen with mtime 1579901557.7586606
